,,Dev Info,,,,,Other DevInfo sources,,,,G-Econ,,,DHS (Equity),,,MICS (Equity),,,National Statistics Institute,,,,SEDAC / CIESIN,,,,OECD,,,,OPHI,,,,HarvestChoice,,,,NBER,,,,DHS (Open Aid Partnership),,,,DHS,,,
Country,prio,Language/status,file name,website,link to file,update info,file name,website,link to file,update info,file name,website,link to file,file name,link to file,update info,file name,link to file,update info,file name,website,link to file,update info,file name,website ,link to file,update info,file name,website ,link to file,update info,file name,website ,link to file,update info,file name,website ,link to file,update info,file name,website ,link to file,update info,file name,website ,link to file,update info,file name,website ,link to file,update info
Afghanistan,500,English,AfghanInfo_2012_en.csv,https://docs.google.com/spreadsheets/d/1Wcnhk7EkTFSfwbr7jhYAQcTqJB5oaAaIGMmApKJB5SA/edit#gid=18,http://www.devinfo.org/afghaninfo/stock/data/CSV_DataFiles/AfghanInfo_2012_en.zip,http://www.devinfo.org/articles/news,,,,,Afghanistan_Calc_Qa_040705_1.xls,http://gecon.yale.edu/afghanistan,http://gecon.yale.edu/sites/default/files/Afghanistan_Calc_Qa_040705_1.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,,,,,,,,,,,,,AfghanistanPopADM1.xlsx,https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing,"https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/olddjpfndk7fa71qjrh0jgoch6h9oi3a/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbSndXUUFQdFVLR3c?h=07874974558453865051&e=download, ",,,,,
Albania,239,Albanian,Albania_2012_en.csv,http://www.devinfo.org/albania/libraries/aspx/Home.aspx,http://www.devinfo.org/albania/stock/data/CSV_DataFiles/Albania_2012_en.zip,http://www.devinfo.org/articles/news,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,http://www.instat.gov.al/en/Home.aspx,,,ALB_sae_csv.csv,http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download,n/a,https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Albania-poverty-adm1-2003.xls
AlbaniaPopulationADM2.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/d699850ptvrr67j1f5pj3r8j1ush5hmk/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbbUk4N2RONmdPRjg?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/kvn9pspc2r5feh0kv0dst1tpiiaf56vp/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbdW5CU1ZpM0tqODQ?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Algeria,443,French,OMD2010_2011_fr.csv,http://www.devinfo.org/omd2010/libraries/aspx/Home.aspx, ,http://www.devinfo.org/articles/news,,,,,Algeria_Calc_MM_032805.xls,http://gecon.yale.edu/algeria,http://gecon.yale.edu/sites/default/files/Algeria_Calc_MM_032805.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlgeriaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0o-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/srpkm5s0ngnaj25h9lst5khovgn3plea/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbQWgwSFNBRElSdU0?h=07874974558453865051&e=download, ",,,,,
Angola,399,no DevInfo,,,,,,,,,Angola_Calc_XC040708.xls,http://gecon.yale.edu/angola,http://gecon.yale.edu/sites/default/files/Angola_Calc_XC040708.xls,,,,,,,,,,,,,,,,,,,,,,,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,,,,,,,,,,http://spatialdata.measuredhs.com/data.html,,
Antigua and Barbuda,97,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AntiguaPopADM1.xlsx,,"https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/ndks19eij54p1q63atmbe3krv1een7nt/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbdmFCOS1JcUd3alk?h=07874974558453865051&e=download, ",,,,,
Argentina,398,Spanish,InfoArgentina2012_2012_es.csv,http://devinfo.org/infoargentina2012/libraries/aspx/Home.aspx,http://devinfo.org/infoargentina2012/stock/data/CSV_DataFiles/InfoArgentina2012_2012_es.zip,http://www.devinfo.org/articles/news,"La Rioja Info_2011_es.csv
Observatorio_de_Politicas_Sociales_2011_en.csv
Observatoriotucuman_2011_es.csv","http://www.devinfo.org/lariojainfo/libraries/aspx/Home.aspx
http://www.devinfo.org/observatorio_de_pol%C3%ADticas_sociales/libraries/aspx/Home.aspxhttp://www.devinfo.org/observatoriotucuman/libraries/aspx/Home.aspx","http://www.devinfo.org/lariojainfo/stock/data/CSV_DataFiles/La%20Rioja%20Info_2011_es.zip
http://www.devinfo.org/observatorio_de_pol%C3%ADticas_sociales/stock/data/CSV_DataFiles/Observatorio_de_Pol%C3%ADticas_Sociales_2011_en.ziphttp://www.devinfo.org/observatoriotucuman/stock/data/CSV_DataFiles/Observatoriotucuman_2011_es.zip",,Argentina_Calc_Qa_040705.xls,http://gecon.yale.edu/argentina,http://gecon.yale.edu/sites/default/files/Argentina_Calc_Qa_040705.xls,,,,,,,,,,,imr_highres.csv,http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download,http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip,https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Argentina .xlsx
ArgentinaPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-0o-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/sj7v5620m24di9ect7rde0i49b3dee6k/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbdG9yb3FSTHBCTjg?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0k-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/m4a0rqur3f7mko2cqaek9a1vh5jh6nkb/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9Mbem5IejNpd1dfMmM?h=07874974558453865051&e=download, ",,,,,
Armenia,253,English,ArmeniaInfo_2012_en.csv,http://www.devinfo.org/armeniainfo/libraries/aspx/Home.aspx,https://docs.google.com/spreadsheets/d/1Wcnhk7EkTFSfwbr7jhYAQcTqJB5oaAaIGMmApKJB5SA/edit#gid=19,http://www.devinfo.org/articles/news,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,http://www.armstat.am/en/,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Armenia-poverty-adm1-2009.xls
ArmeniaPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-08-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/pgp919613rilpjh1p2br5uv9qpbojesc/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbVWZDd0dlbGRrX0U?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0s-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/gqa38vjils3rn8rv9b67uhb7odih636v/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbM3c0LVFfVzl5Tnc?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Australia,321,no DevInfo,,,,,,,,,Australia_Calc_Qa_041505.xls,http://gecon.yale.edu/australia,http://gecon.yale.edu/sites/default/files/Australia_Calc_Qa_041505.xls,,,,,,,,,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
Austria,235,no DevInfo,,,,,,,,,Europe_cal_xi_101309.xls,http://gecon.yale.edu/austria,http://gecon.yale.edu/sites/default/files/Europe_cal_xi_101309.xls,,,,,,,,,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
